Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Kuala Lumpur,Malaysia,"12,985",930.3,5.4,"9,907",302.6,0.0,"22,892","1,232.8",5.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,London,UK,"24,274",515.7,136.4,"22,734",155.6,79.9,"47,008",671.3,216.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Los Angeles,USA,"25,168",897.1,116.3,"22,603",273.9,82.4,"47,771","1,171.0",198.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Louisville,USA,..,835.9,0.0,..,..,..,..,835.9,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Manila,Philippines,"7,548",64.4,10.5,"5,835",68.4,1.8,"13,383",132.8,12.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Mauritius,Mauritius,"1,058",9.9,0.2,858,0.0,0.0,"1,916",9.9,0.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Nadi,Fiji,"16,146",135.2,0.0,"11,718",197.9,6.2,"27,864",333.1,6.2,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,New York,USA,"3,110",391.2,7.2,"2,503",13.6,4.1,"5,613",404.9,11.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Noumea,New Caledonia,"5,836",5.1,0.8,"4,704",58.9,3.5,"10,540",64.1,4.3,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Osaka,Japan,"2,616",35.4,0.0,"2,331",57.6,4.4,"4,947",93.0,4.4,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Papeete,Tahiti,"1,917",40.2,0.0,"1,964",54.9,0.0,"3,881",95.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Phuket,Thailand,"3,661",12.4,0.0,"3,215",0.0,0.0,"6,876",12.4,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Port Moresby,Papua New Guinea,628,1.9,0.8,680,0.8,0.0,"1,308",2.7,0.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Port Vila,Vanuatu,"4,615",8.6,0.0,"3,399",11.9,0.0,"8,014",20.5,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Queenstown,New Zealand,"2,684",0.0,0.0,"2,346",0.0,0.0,"5,030",0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,San Francisco,USA,"15,236",69.8,60.7,"12,377",203.3,11.3,"27,613",273.1,72.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Santiago,Chile,"2,995",129.1,1.0,"2,477",44.0,3.6,"5,472",173.0,4.6,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
